Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=0.5 Mean,c=0.5 Std
bigfish,1.08,1.76,13.90,15.19,8.29,11.93
dodgeball,2.03,3.18,5.02,5.91,4.61,5.54
climber,5.87,5.56,6.31,5.52,6.13,5.61
leaper,2.54,4.35,6.97,4.60,6.99,4.59
miner,9.16,5.22,10.07,4.79,10.22,4.69
jumper,5.96,4.91,5.77,4.94,6.12,4.87
caveflyer,5.33,4.92,5.20,4.91,5.53,4.96
ninja,6.59,4.74,5.77,4.94,5.25,4.99
