Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=0.5 Mean,c=0.5 Std
bigfish,1.08,1.76,13.90,15.19,nan,nan
dodgeball,2.03,3.18,5.02,5.91,nan,nan
climber,5.87,5.56,6.31,5.52,nan,nan
leaper,2.54,4.35,6.97,4.60,nan,nan
miner,9.16,5.22,10.07,4.79,nan,nan
jumper,5.96,4.91,5.77,4.94,nan,nan
caveflyer,5.33,4.92,5.20,4.91,nan,nan
ninja,6.59,4.74,5.77,4.94,nan,nan
