Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=2 Mean,c=2 Std
bigfish,1.08,1.76,13.90,15.19,14.18,15.44
dodgeball,2.03,3.18,5.02,5.91,4.11,5.30
climber,5.87,5.56,6.31,5.52,6.14,5.61
leaper,2.54,4.35,6.97,4.60,6.95,4.60
miner,9.16,5.22,10.07,4.79,9.94,4.87
jumper,5.96,4.91,5.77,4.94,5.38,4.99
caveflyer,5.33,4.92,5.20,4.91,5.64,4.96
ninja,6.59,4.74,5.77,4.94,5.26,4.99
