Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=5 Mean,c=5 Std
bigfish,1.08,1.76,13.90,15.19,14.50,14.93
dodgeball,2.03,3.18,5.02,5.91,4.41,5.31
climber,5.87,5.56,6.31,5.52,6.14,5.65
leaper,2.54,4.35,6.97,4.60,4.59,4.98
miner,9.16,5.22,10.07,4.79,9.10,5.30
jumper,5.96,4.91,5.77,4.94,5.57,4.97
caveflyer,5.33,4.92,5.20,4.91,5.37,4.96
ninja,6.59,4.74,5.77,4.94,5.41,4.98
