Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=2 Mean,c=2 Std
bigfish,1.08,1.76,13.90,15.19,8.07,11.44
dodgeball,2.03,3.18,5.02,5.91,5.37,5.99
climber,5.87,5.56,6.31,5.52,5.96,5.53
leaper,2.54,4.35,6.97,4.60,6.77,4.68
miner,9.16,5.22,10.07,4.79,9.86,4.93
jumper,5.96,4.91,5.77,4.94,5.93,4.91
caveflyer,5.33,4.92,5.20,4.91,4.99,4.95
ninja,6.59,4.74,5.77,4.94,5.34,4.99
