Task,PPO Mean,PPO Std,Hyperbolic PPO Mean,Hyperbolic PPO Std,c=0 Mean,c=0 Std
bigfish,1.08,1.76,13.90,15.19,13.45,14.94
dodgeball,2.03,3.18,5.02,5.91,5.86,6.19
climber,5.87,5.56,6.31,5.52,5.86,5.57
leaper,2.54,4.35,6.97,4.60,7.32,4.43
miner,9.16,5.22,10.07,4.79,9.68,4.97
jumper,5.96,4.91,5.77,4.94,5.78,4.94
caveflyer,5.33,4.92,5.20,4.91,4.74,4.87
ninja,6.59,4.74,5.77,4.94,5.88,4.92
