iter	frame	n_test	mean_returns	std_returns	max_returns	min_returns	n_test_train	mean_returns_train	std_returns_train	max_returns_train	min_returns_train	actor_loss	entropy_loss	value_loss	training_time	evaluation_time
0	0	10	1.1	0.7	2.0	0.0	10	1.4	2.9393876913398134	10.0	0.0	0	0	0	0.0	39.157999608420006
4	65536	10	0.5	0.6708203932499369	2.0	0.0	10	1.0	0.8944271909999159	2.0	0.0	0.009275540102199541	-2.4945963643376254	0.15346614411442394	12.38049996904875	43.47799956522001
8	131072	10	0.9	0.9433981132056605	2.0	0.0	10	0.9	1.044030650891055	3.0	0.0	-0.004029462887233569	-2.555261874926151	0.030657432291101995	12.457749968855627	45.68199954318001
12	196608	10	1.2	0.8717797887081347	3.0	0.0	10	1.2	0.9797958971132712	3.0	0.0	-0.0049444165095037865	-2.5569559854585764	0.030510922366834625	11.568249971079375	43.75799956242001
16	262144	10	1.3	0.6403124237432849	2.0	0.0	10	1.4	2.9393876913398134	10.0	0.0	-0.004691709657099012	-2.54544369601517	0.03338395502109335	12.329999969175	43.38699956613001
20	327680	10	1.9	2.913760456866693	10.0	0.0	10	0.8	0.6000000000000001	2.0	0.0	-0.005491219981835829	-2.566294351946219	0.02231896507398877	12.022249969944374	40.70599959294001
24	393216	10	1.0	0.6324555320336759	2.0	0.0	10	1.3	0.6403124237432849	2.0	0.0	-0.005278759674240133	-2.5844871796458926	0.02703132844869351	11.840999970397501	46.93299953067001
28	458752	10	1.0	0.6324555320336759	2.0	0.0	10	1.7	2.934280150224242	10.0	0.0	-0.005827223651066797	-2.5542654913983402	0.04685525963332131	11.7169999707075	43.40599956594001
32	524288	10	0.8	0.7483314773547883	2.0	0.0	10	0.7	0.9	2.0	0.0	-0.005827614355438723	-2.5416891423200414	0.03240062381424263	12.054499969863752	45.43299954567001
36	589824	10	1.9	3.7536648758246915	13.0	0.0	10	2.1	2.8442925306655784	10.0	0.0	-0.0048153523573835795	-2.5213444205479	0.06697248517381268	11.857249970356875	44.249999557500004
40	655360	10	3.2	4.284857057125711	13.0	0.0	10	1.0	0.8944271909999159	3.0	0.0	-0.004928958707237574	-2.519489290551158	0.03447561151920256	11.2069999719825	45.49799954502001
44	720896	10	1.1	0.9433981132056604	2.0	0.0	10	1.2	1.0770329614269007	3.0	0.0	-0.005113628321318468	-2.52718680077295	0.03497205350261347	11.815249970461876	44.21699955783001
48	786432	10	3.1	4.968903299521938	13.0	0.0	10	1.0	1.0	3.0	0.0	-0.006003828995119299	-2.558329999180376	0.02664019670642013	11.218249971954377	43.381999566180006
52	851968	10	2.1	2.7730849247724096	10.0	0.0	10	1.5	0.806225774829855	3.0	0.0	-0.005327604003520248	-2.5890745443388976	0.03723808997504877	12.205999969485	41.64399958356
56	917504	10	1.1	0.9433981132056604	3.0	0.0	10	1.4	1.2	3.0	0.0	-0.004081610332710494	-2.577423157522815	0.07323591250279797	11.846249970384374	44.15899955841001
60	983040	10	1.6	0.9165151389911681	3.0	0.0	10	1.0	0.6324555320336759	2.0	0.0	-0.006094209313204084	-2.56343167993546	0.02430399247036779	12.051749969870626	43.09599956904
64	1048576	10	3.8	4.66476151587624	13.0	0.0	10	3.0	3.3763886032268267	13.0	1.0	-0.005595925835852921	-2.5566854797123986	0.03287689912294917	11.479499971301252	42.07499957925001
68	1114112	10	1.9	0.7	3.0	1.0	10	1.3	0.9	3.0	0.0	-0.00453409410888286	-2.551588820648637	0.0698986542920414	11.675999970809999	43.15499956845001
72	1179648	10	1.3	0.9	3.0	0.0	10	2.2	2.8213471959331766	10.0	0.0	-0.0045391466648168595	-2.5345779307029943	0.05245834520549137	11.9589999701025	42.38399957616001
76	1245184	10	3.7	4.712748667179271	13.0	0.0	10	3.1	3.419064199455752	13.0	0.0	-0.004603028871745485	-2.538801649941789	0.08350983831627255	11.759749970600625	41.30399958696001
80	1310720	10	1.5	0.806225774829855	3.0	0.0	10	2.7	3.551056180912941	13.0	0.0	-0.0054474987440481385	-2.524584181343792	0.04144074564639627	11.692749970768125	45.71699954283
84	1376256	10	3.6	4.758150901348128	13.0	0.0	10	2.2	2.749545416973504	10.0	0.0	-0.0045089843304748755	-2.543773136768009	0.08268529010929024	11.48749997128125	43.05199956948
88	1441792	10	2.2	0.9797958971132712	3.0	0.0	10	2.9	3.477067730142742	13.0	0.0	-0.005691884647617154	-2.548642669849351	0.062431322210173903	11.724499970688749	41.94999958050001
92	1507328	10	1.0	0.8944271909999159	3.0	0.0	10	2.1	3.7	13.0	0.0	-0.005069069225482442	-2.5073563478758776	0.07623900736198401	11.005749972485624	47.984999520150005
96	1572864	10	1.5	1.02469507659596	3.0	0.0	10	2.8	4.467661580737736	13.0	0.0	-0.003553402988102807	-2.4749176872178773	0.07708371299835387	11.186249972034375	38.8699996113
100	1638400	10	1.0	1.0	3.0	0.0	10	1.1	1.044030650891055	3.0	0.0	-0.005056238345866916	-2.49120891564963	0.11197310813001916	11.681249970796873	44.018999559810005
104	1703936	10	3.5	4.080441152620633	13.0	1.0	10	3.7	4.075536774462966	13.0	0.0	-0.004857399090521543	-2.493155844249898	0.14553404105087334	11.016499972458751	47.99499952005001
108	1769472	10	2.6	3.5552777669262356	13.0	0.0	10	4.1	4.52658811910251	13.0	1.0	-0.0048184447169795	-2.495174646117649	0.10914993409172176	10.767249973081876	43.486999565130006
112	1835008	10	1.7	1.1	3.0	0.0	10	1.0	0.8944271909999159	3.0	0.0	-0.004019198303351917	-2.5031214353815003	0.1308231687347414	11.708749970728125	37.50399962496
116	1900544	10	3.6	4.800000000000001	13.0	0.0	10	3.1	4.323193264243457	13.0	0.0	-0.005143429828795806	-2.5153486726048055	0.10994326545254922	11.12749997218125	44.85899955141001
120	1966080	10	2.1	0.7000000000000001	3.0	1.0	10	3.8	4.66476151587624	13.0	0.0	-0.0052241681594159635	-2.511614747083821	0.10826419120069983	10.892249972769376	43.22399956776
124	2031616	10	3.4	3.261901286060018	13.0	1.0	10	3.7	4.026164427839479	13.0	0.0	-0.004955581893317768	-2.4931872285788956	0.1263203067418231	11.970249970074375	41.19299958807
128	2097152	10	1.3	1.004987562112089	3.0	0.0	10	1.7	1.1	3.0	0.0	-0.0045779567779473005	-2.4981813651701277	0.12362515793135956	11.077749972305623	44.976999550230005
132	2162688	10	3.2	3.31058907144937	13.0	1.0	10	4.4	4.431703961232067	13.0	1.0	-0.005275799754050012	-2.528114457661815	0.16079074294028417	11.30799997173	42.030999579690004
136	2228224	10	5.3	5.0803543183522155	13.0	1.0	10	2.8	3.57211421989835	13.0	0.0	-0.004750554182576319	-2.5493662503686343	0.1463007317548337	10.952249972619375	43.03099956969
140	2293760	10	2.3	3.716180835212409	13.0	0.0	10	3.6	4.800000000000001	13.0	0.0	-0.005019440055631801	-2.5158246728144054	0.11882009309410135	11.230999971922502	42.10899957891001
144	2359296	10	3.1	3.448187929913334	13.0	0.0	10	2.7	3.5227829907617076	13.0	0.0	-0.005676266133999176	-2.5169548215827127	0.10756049701832504	10.75599997311	43.34499956655001
